username,follower_count,following_count,video_count,is_verified
.aj.clips,153.0,97.0,95.0,False
.leebowles,155.0,150.0,33.0,False
.nigels.version,408.0,17.0,16.0,False
.thisisscotland,359419.0,2186.0,453.0,False
1adamhx,86041.0,598.0,133.0,False
1curruption1,21.0,5.0,43.0,False
2paddypandas_nowinperth,6296.0,8723.0,592.0,False
786qajmi,348.0,216.0,215.0,False
7oaksyoungliberals,20.0,1.0,9.0,False
8forum,1034.0,762.0,16.0,False
__itsjustboris,269.0,1234.0,32.0,False
_debz,6440.0,3985.0,776.0,False
_grantttb,5387.0,887.0,1287.0,False
_josherwood,24416.0,5088.0,2321.0,False
_lets.talk.money,92346.0,6.0,275.0,False
_olikimber,6830.0,369.0,298.0,False
_raxacoricofallapatorian,82.0,243.0,43.0,False
_reeducation,8897.0,2.0,255.0,False
_smooth47,223337.0,22.0,2570.0,False
_thebushradiaries,14955.0,2253.0,956.0,False
_ummmzara,2581.0,103.0,258.0,False
_und3ad_gur1y_02,696.0,215.0,396.0,False
a.jayyz,381.0,78.0,162.0,False
a.lacey2003,584.0,129.0,418.0,False
a.little.bit.of.lesley,17577.0,6698.0,3526.0,False
aaron.creams,320.0,161.0,142.0,False
aasiya.bora.green.party,327.0,143.0,70.0,False
abb__jeemoh,25261.0,1038.0,421.0,False
abbywest.news,8211.0,364.0,548.0,False
abdullahdareelist,11651.0,540.0,114.0,False
abigoliah,145215.0,1022.0,932.0,False
accountablegenx,8104.0,8870.0,621.0,False
accountant_she,35393.0,213.0,874.0,False
adamfitch,6681.0,1222.0,1411.0,False
adelestv13,319411.0,270.0,7426.0,False
adie881,10822.0,3254.0,844.0,False
advice_at_peninsula,10831.0,48.0,388.0,False
ae1.editss,1396.0,0.0,168.0,False
affirobin,3085.0,2125.0,344.0,False
affordablecountryliving,10833.0,6424.0,478.0,False
afrolaff1,31513.0,5020.0,653.0,False
afromaths,22.0,18.0,46.0,False
afzalkhanmcr,1969.0,0.0,60.0,False
aidibuzz,2517.0,27.0,57.0,False
aileendelaney,53007.0,389.0,2046.0,False
aisha17077,440.0,914.0,36.0,False
ajay__s05,,,,
ajshahow,264.0,312.0,590.0,False
ajwhite8709,7485.0,217.0,800.0,False
ak140847,9684.0,1696.0,687.0,False
akhmedyakoob,221086.0,1070.0,2446.0,False
akyh88,15271.0,238.0,57.0,False
alan_law1,4661.0,3321.0,437.0,False
alanadamstelford,1127.0,341.0,30.0,False
alancairey,51821.0,1533.0,1984.0,False
alanp1971realestate,980.0,2183.0,425.0,False
alanzycinski,6972.0,439.0,258.0,False
alastairmellonsdp,44.0,8.0,42.0,False
alex.hargreaves2,1655.0,19.0,11.0,False
alexanderhitchmough,16577.0,30.0,354.0,False
alexatherton100,744.0,260.0,226.0,False
alexathienitou,16508.0,508.0,2132.0,False
alexduffysf,1608.0,1396.0,111.0,False
alexgroyn,6111.0,42.0,162.0,False
alexharmstrong,22640.0,391.0,200.0,False
alexjarmitage,1584.0,154.0,127.0,False
alexplatt_,256879.0,974.0,1328.0,False
alexsmithpoems,48.0,121.0,8.0,False
alexturnersrealwif3,849.0,208.0,172.0,False
alexwilsonam,4156.0,5.0,106.0,False
alibfilms,28573.0,77.0,152.0,False
alicevgold,83.0,82.0,6.0,False
aliciadavison13,4854.0,256.0,241.0,False
alimilanilive,2389.0,439.0,228.0,False
allaboutadam24,30597.0,272.0,384.0,False
allbritisharentwe,345.0,79.0,95.0,False
alp33.mmxxiv,41.0,15.0,124.0,False
alrightgov,20975.0,6.0,399.0,True
alternativenews1,14628.0,2.0,2109.0,False
altrinchamhq,2945.0,971.0,948.0,False
alwaysbecomedy,1502.0,81.0,194.0,False
amandainvests,3064.0,2006.0,937.0,False
amandajane1972,48883.0,1892.0,2031.0,False
amandamartinlabour,73.0,193.0,12.0,False
amarmahboob1,172443.0,887.0,5461.0,False
ameliamai0307,1737.0,82.0,283.0,False
ameliamotherhood,29094.0,3103.0,1205.0,False
amie.leach,1244.0,960.0,146.0,False
amir_independent_legend,806.0,533.0,237.0,False
amjad.hussainwp,835.0,17.0,11.0,False
amjidsnp,1254.0,751.0,141.0,False
ammar.hashim10,1120.0,59.0,26.0,False
amoy4500,2700.0,173.0,321.0,False
amrit_mann.gb,262.0,509.0,41.0,False
amycallaghansnp,3942.0,339.0,65.0,False
amyrob2306,107310.0,1420.0,1559.0,False
analystnews,36795.0,18.0,876.0,False
anandmenon0,326.0,285.0,76.0,False
anassarwarmsp,6976.0,55.0,613.0,False
anayo.wav,161.0,152.0,44.0,False
andreasinlondon,2364.0,42.0,49.0,False
andrewfeinstein4hsp,3577.0,3.0,38.0,False
andrewjenkins,554.0,414.0,43.0,False
andrewlearmonth_herald,1008.0,319.0,69.0,False
andrewpakeslabour,811.0,161.0,102.0,False
andrewsouthall.reformuk,1522.0,35.0,67.0,False
andyajc,327.0,614.0,27.0,False
andydurrant1,251.0,364.0,42.0,False
andylibdem,114.0,39.0,14.0,False
andyspangles,351.0,132.0,248.0,False
angrybritain,13535.0,178.0,444.0,False
angryrant6134,28287.0,3124.0,1189.0,False
ani.townsend,359.0,87.0,6.0,False
anj.mgc,2863.0,1183.0,634.0,False
ankinosx,1119.0,62.0,537.0,False
annaaabellez,5032.0,536.0,618.0,False
annabelmaud,93519.0,779.0,926.0,False
annalarlar,470.0,414.0,181.0,False
annamcmorrin,2492.0,55.0,8.0,False
anothercupoftee,11345.0,1316.0,765.0,False
anum__qaisar,31219.0,295.0,163.0,True
ap.randomtiktoksofficial,294468.0,213.0,1704.0,False
apocalypsenext9,6281.0,2883.0,639.0,False
aquariumagic,6859.0,4783.0,4729.0,False
aquayemiakinsany3,201.0,191.0,1138.0,False
arathabrat83_,6504.0,5411.0,1448.0,False
archaeodeath,174863.0,649.0,3380.0,False
arecki_yrks,57697.0,674.0,1620.0,False
areetitsus,18645.0,111.0,709.0,False
argumuqxxdz,872.0,29.0,9.0,False
arkive44,4154.0,208.0,371.0,False
arletty0,617.0,1008.0,343.0,False
armfordestates,628.0,0.0,225.0,False
army.grampz,367.0,246.0,102.0,False
aroma4ashton,946.0,14.0,27.0,False
arounduk,27501.0,514.0,1596.0,False
artbyizeneko,807.0,9498.0,101.0,False
asc_kittygrunge,406.0,494.0,259.0,False
asexualaut,62810.0,5812.0,17230.0,False
ashassets,1771.0,6.0,99.0,False
ashbibilondon,2546.0,813.0,470.0,False
ashdmack,2480.0,4.0,85.0,False
asht_talks,20691.0,161.0,1035.0,False
asifsharif77,4550.0,1307.0,7927.0,False
askaboutmedia,173.0,434.0,45.0,False
attiqmalik001,29741.0,7.0,271.0,False
audhdnotbroken,12091.0,1067.0,714.0,False
audit_oblivion,37411.0,15.0,938.0,False
auntieadhd,16550.0,5504.0,383.0,False
austin_timi,,,,
autismdad_,40969.0,451.0,499.0,False
awakening_wonder,16784.0,8.0,181.0,False
axman687,623.0,531.0,233.0,False
ayrshire.today,6961.0,8.0,169.0,False
ayrshiregreens,432.0,49.0,14.0,False
azandriz2,466.0,27.0,240.0,False
azhar4slough,1697.0,1.0,8.0,False
b2r5e1t,6788.0,402.0,1771.0,False
baamini.s,1367.0,287.0,29.0,False
babar_usl,12225.0,328.0,343.0,False
babii93x,29961.0,1578.0,1018.0,False
babsromance,5144.0,202.0,286.0,False
babybee140,12201.0,5754.0,1636.0,False
babybillgatesvn,16337.0,16.0,1145.0,False
badger3705,489.0,1115.0,123.0,False
badgersgreenstone,473.0,466.0,51.0,False
bakehouse2016,11.0,0.0,1.0,False
baldmanvids,3182.0,2934.0,156.0,False
bamzinogta,14330.0,131.0,346.0,False
barbie_advocates,21201.0,839.0,653.0,False
barilawassociates,72782.0,2.0,1432.0,False
barrister_hafeez,3176.0,0.0,163.0,False
barrmrso,1008.0,23.0,324.0,False
basildonsocialistparty,871.0,22.0,418.0,False
basingstokegazette,2511.0,32.0,114.0,False
bbc,7067964.0,44.0,8178.0,True
bbcnews,15587403.0,17.0,11634.0,True
bbcnewsround,145316.0,14.0,1747.0,True
bbcsounds,327360.0,76.0,4843.0,True
bearstories_,10876.0,3292.0,547.0,False
beccihughes27,1632.0,2155.0,196.0,False
beccy.cooper,209.0,8.0,9.0,False
beckimckenzie1,50025.0,25.0,395.0,False
beckyslittlelife,19595.0,588.0,1418.0,False
becsamongthechaos,2054.0,1015.0,1145.0,False
beembish,1165.0,1498.0,262.0,False
behindpolitics,13702.0,35.0,90.0,False
bellafletcherlomas,6076.0,302.0,202.0,False
ben_bradley_32,14415.0,69.0,263.0,False
bendavisauthor,28222.0,931.0,2590.0,False
benhabibuk,10644.0,1.0,456.0,False
beninternet,584244.0,106.0,1041.0,True
bennyjeeee,89687.0,219.0,1446.0,False
benw90gym,527.0,91.0,63.0,False
beofficia,1061.0,21.0,32.0,False
berny234586,343.0,657.0,113.0,False
besshardy1,893.0,0.0,29.0,False
bethsherm02,3112.0,240.0,311.0,False
bhashamukherjee,8499.0,46.0,790.0,False
bigbodiedwitch,10248.0,4760.0,3937.0,False
bigenergyfitness,216750.0,73.0,2234.0,False
bigquiznightin,4162.0,1162.0,1019.0,False
bilalkeyaniofficial,30901.0,696.0,1848.0,False
bilalsamed,1278.0,1272.0,194.0,False
billblueeyedtiger,52363.0,9611.0,4137.0,False
bizarre_creationz,1049.0,805.0,310.0,False
bjt.6,69724.0,238.0,906.0,False
bkp03,10193.0,148.0,376.0,False
blackcabandy,12991.0,8880.0,134.0,False
blackdiamondtalk,,,,
blades.building.r,102.0,5.0,6.0,False
blasphemous_candy,307.0,1153.0,65.0,False
blemmefatale,,,,
blightybants,16072.0,1.0,160.0,False
blissfulpatriot,10064.0,2.0,70.0,False
blktory,155.0,1265.0,62.0,False
bluekjl,280.0,278.0,119.0,False
blumbish,16793.0,0.0,411.0,False
blvckcanvastv,51.0,8.0,15.0,False
bmbpopculture,12438.0,6673.0,5277.0,False
bobbysea1664,32440.0,4956.0,4458.0,False
bobbysea58,4974.0,1410.0,775.0,False
boblomas54,3064.0,136.0,220.0,False
bonnielad20,16161.0,118.0,637.0,False
boredglaswegian,1781.0,1924.0,470.0,False
boris543543,1392.0,709.0,746.0,False
boristrump45,257402.0,1771.0,1964.0,False
born2breal,16071.0,8970.0,3709.0,False
borneo4games,15625.0,6986.0,654.0,False
botsaaaaang,656.0,6988.0,97.0,False
bournbrookmag,4.0,0.0,16.0,False
bowlofchalk,27156.0,214.0,672.0,False
bradcarbunkle,7135.0,702.0,470.0,False
braddersessentials,1868.0,4237.0,209.0,False
bradphillipsuk,2826.0,427.0,144.0,False
bradwendes,361.0,106.0,156.0,False
brainfood_for_you,4040.0,127.0,733.0,False
braverontheoutside,295.0,357.0,101.0,False
brazenhodgepodge,114.0,259.0,82.0,False
brendalouise87,549.0,237.0,116.0,False
brendancorr752,431.0,407.0,95.0,False
brendanhughes64_,1108.0,91.0,65.0,False
brewdogofficial,9210.0,95.0,372.0,False
bricksandslides,99346.0,73.0,527.0,False
bridge1985,3305.0,53.0,393.0,False
briefednews,17.0,1.0,6.0,False
brightonhoveldr,1298.0,387.0,156.0,True
brindipak,6784.0,122.0,490.0,False
bristoluniversitypress,72.0,18.0,62.0,False
brit.vision.media,902.0,267.0,18.0,False
britainnia.reveni,778.0,31.0,16.0,False
britanniatimes,55485.0,2.0,2170.0,False
british.beer.pub,153.0,46.0,26.0,False
britishcomedyofficial,12510.0,39.0,143.0,False
britishdouble,14248.0,205.0,139.0,False
britishrevival,1385.0,3.0,33.0,False
britsmadebanter,105.0,174.0,62.0,False
brittok4u,16598.0,318.0,765.0,False
broadlandlibdems,83.0,6.0,23.0,False
broxbourne.labour,465.0,63.0,29.0,False
bryanbaker44,242859.0,9362.0,1826.0,False
bryonyssmith,131.0,71.0,16.0,False
bubblegum.stuff,2396.0,163.0,358.0,False
buddhaforeveryone,68148.0,50.0,860.0,False
bullsnosenews,68046.0,185.0,3582.0,False
burberry_barbie_1312,2883.0,3673.0,455.0,False
busayotwins,11890.0,518.0,109.0,False
businesshelpline,2355.0,91.0,460.0,False
butchboyfriend,99537.0,9999.0,439.0,False
butcher4south,4557.0,17.0,218.0,False
buzzer1234545,609.0,705.0,541.0,False
buzztalk,24.0,13.0,7.0,False
bye_bye_fatman,311247.0,15.0,3847.0,True
bylinetimes,26792.0,251.0,774.0,False
c4news,3332901.0,6.0,11033.0,True
c5news,50329.0,14.0,1425.0,False
c_changescotland,128.0,58.0,143.0,False
caesare.smith,5.0,6.0,11.0,False
calierogers,355.0,594.0,11.0,False
calumjames07,11827.0,2101.0,902.0,False
cambridgejudge,1654.0,83.0,190.0,True
cameronfor2029,32519.0,201.0,233.0,False
cameronswaranbell,15.0,3.0,40.0,False
cardiff_uni_cons,26.0,8.0,4.0,False
cardiffer,6.0,0.0,7.0,False
carl.carlos.carlito,379.0,484.0,243.0,False
carlingcol,17238.0,3394.0,2636.0,False
carljoys,7855.0,60.0,134.0,False
carmencymru,1268.0,170.0,64.0,False
caroline.clapper,66.0,1.0,1.0,False
casualwednesday,4329.0,653.0,1052.0,False
cathcartclp,474.0,389.0,48.0,False
catherine.fookes,1030.0,69.0,50.0,False
catherineedge03,659.0,510.0,420.0,False
cathleenc_,2083.0,1134.0,1016.0,False
catrin.wager.ba,147.0,38.0,18.0,False
cats.hauls,2756.0,5853.0,5666.0,False
cazzatime,435684.0,165.0,713.0,True
cgtneurope,1866508.0,85.0,8722.0,True
chaiitalks,13332.0,149.0,119.0,False
chairwizardtablealex,126.0,287.0,58.0,False
charlenenickolds,82948.0,784.0,100.0,False
charleyhullah,2467.0,1688.0,440.0,False
charliechalk12,22003.0,3683.0,3216.0,False
charlieraexxxx,11006.0,533.0,1813.0,False
charlotte.devaney5,223.0,51.0,40.0,False
charlotte4norwichnorth,170.0,35.0,8.0,False
charlottegay_,10841.0,404.0,256.0,False
charmatt0,1635.0,168.0,132.0,False
charmthevlogger,1612.0,12.0,159.0,False
chayreviews,98594.0,711.0,2658.0,False
chazfrancescasutton,9647.0,9890.0,2914.0,False
chefdave11,379844.0,1541.0,1317.0,False
chelsea.salt,270686.0,2499.0,3998.0,False
chesterpants,52.0,45.0,6.0,False
chez.mc,7740.0,207.0,429.0,False
chlobotic,1414.0,871.0,271.0,False
chloemay826,10278.0,4570.0,1231.0,False
chris.annous,51.0,21.0,3.0,False
chris_chambo_,38226.0,99.0,249.0,False
chris_rampage_revert,108634.0,2070.0,992.0,False
chriscork89,351077.0,6010.0,4566.0,False
chriscreformuk,894.0,18.0,12.0,False
chrisjamesnews,23.0,8.0,3.0,False
chriskunzler,437298.0,276.0,909.0,False
chrismccausland,44270.0,99.0,255.0,False
chrismitchell1989,2885.0,133.0,61.0,False
chrispypancake,708.0,3147.0,83.0,False
christina.aaliyah,143908.0,410.0,943.0,False
christoph24601,6366.0,3803.0,2374.0,False
christopherkerrnovelist,6193.0,1.0,261.0,False
chriswebbmp,2380.0,222.0,244.0,False
chubbynortherner,7429.0,651.0,569.0,False
cinnamonpicklegal,581.0,255.0,237.0,False
citizensadvice,168806.0,86.0,928.0,True
citizensuk,362.0,72.0,44.0,False
city_am,27354.0,0.0,1385.0,True
claire.hanna.mp,1365.0,35.0,73.0,False
claphamturk,16.0,37.0,18.0,False
clarseconscious,25.0,2.0,3.0,False
claudiasavage8,25157.0,2840.0,315.0,False
claytonsecondaryschool,12172.0,3.0,176.0,False
climatejoe,32.0,14.0,10.0,False
clipsgalore19,3.0,5.0,5.0,False
clipzoneuk,65674.0,0.0,137.0,False
clipzwithai,1330.0,487.0,94.0,False
cllr..graeme.case,99.0,49.0,5.0,False
cllranthonycarroll,1629.0,135.0,174.0,False
cllrmajid,7544.0,1285.0,1547.0,False
cllrmuhammedaliislam,8627.0,300.0,527.0,False
cllrsimonlee,1168.0,212.0,156.0,False
cllrtalatsajawal,2848.0,1018.0,911.0,False
cloutnews,1010096.0,14.0,2594.0,True
clunkmagazine,3805.0,506.0,437.0,False
cod_fypp,4732.0,41.0,367.0,False
coinneachmacanndrais,2150.0,610.0,269.0,False
colchester_gazette,1741.0,24.0,114.0,False
colchesterreformuk,1425.0,41.0,17.0,False
colin.thom.61,1025.0,372.0,421.0,False
colinsdlp,4508.0,224.0,285.0,False
colnevalley.reform,1316.0,23.0,57.0,False
columeastwood,3562.0,41.0,85.0,False
comedyunleashed,13198.0,20.0,257.0,False
commonmanuk,3890.0,39.0,362.0,False
complainingbrit,1055.0,1484.0,34.0,False
computerx79,643.0,206.0,11.0,False
comrade_ashok,15643.0,99.0,369.0,False
concernedglitch,965.0,3.0,27.0,False
conexeuropean,2813.0,71.0,120.0,False
connornaismithmp,1743.0,271.0,199.0,False
conservation_kate,16726.0,958.0,824.0,False
contemplatewithmr.z,66.0,7.0,97.0,False
contentghost4,342.0,0.0,40.0,False
cooperation.hull,691.0,58.0,33.0,False
coopparty,2289.0,109.0,298.0,False
cornishg1,8587.0,544.0,359.0,False
costathemodel,12988.0,23.0,169.0,False
council.cutie,16435.0,5077.0,589.0,False
councillor.chris,89.0,33.0,22.0,False
cp.obe,10135.0,184.0,397.0,False
cptbenzie,2061.0,47.0,146.0,False
craigdavidson85,51415.0,607.0,2100.0,False
craigmurray4blackburn,98.0,0.0,6.0,False
cramlingtonnews,4725.0,3.0,199.0,False
crazyvidscontent,15.0,3.0,3.0,False
creatorlabs3,22.0,0.0,7.0,False
crimetalkuk,180483.0,0.0,136.0,False
criminalinjurieshelpline,16249.0,135.0,1161.0,False
critical_mass_media,21.0,14.0,17.0,False
croftzuk,1017.0,2771.0,109.0,False
crossingswords_podcast,139.0,28.0,167.0,False
croydonextra,38322.0,295.0,1063.0,False
croydonriapatel,1262.0,385.0,40.0,False
croydonwest,16.0,0.0,123.0,False
crueltyfreeintl,1399.0,63.0,272.0,False
csp.libdems,0.0,2.0,2.0,False
csupsy,6614.0,1030.0,375.0,False
cultdeep.irl,290.0,139.0,135.0,False
cultureclashfamily,142982.0,1053.0,1273.0,False
curlywurlykurt,4581.0,2731.0,380.0,False
