person_id,first_name,last_name,tiktok_username,party,constituency,
25813,Fleur,Anderson,fleurandersonputney,Labour,Putney,
24916,Steve,Barclay,stevebarclayofficial,Conservative,North East Cambridgeshire,
25914,Apsana,Begum,apsanabegum_,Labour,Poplar and Limehouse,
25272,Suella,Braverman,suellab,Reform UK,Fareham and Waterlooville,
25391,Richard,Burgon,richard_burgonmp,Labour,Leeds East,
11447,Dawn,Butler,dawnbutlerbrent,Labour,Brent East,
25642,Dan,Carden,dancardenmp,Labour,Liverpool Walton,
26316,Lewis,Cocking,lewis.cocking,Conservative,Broxbourne,
10133,Jeremy,Corbyn,thejeremycorbyn,Independent,Islington North,
10162,David,Davis,daviddavismp,Conservative,Goole and Pocklington,
25695,Tan,Dhesi,tandhesi,Labour,Slough,
25805,Luke,Evans,drlukeevansmp,Conservative,Hinckley and Bosworth,
26352,Nigel,Farage,nigel_farage,Reform UK,Clacton,
10220,Barry,Gardiner,barry.gardiner.mp,Labour,Brent West,
25415,Kevin,Hollinrake,kevinhollinrake,Conservative,Thirsk and Malton,
25381,Nigel,Huddleston,nigelhuddlestonmp,Conservative,Droitwich and Evesham,
26393,Claire,Hughes,claire.hughes.mp,Labour,Bangor Aberconwy,
25375,Imran,Hussain,imranhussainmp,Labour,Bradford East,
25227,Robert,Jenrick,robert_jenrick,Reform UK,Newark,
25803,Kim,Johnson,mpkimjohnson,Labour,Liverpool Riverside,
10678,David,Lammy,davidlammy,Labour,Tottenham,
25356,Clive,Lewis,labourlewis,Labour,Norwich South,
24788,Shabana,Mahmood,shabana_mahmood,Labour,Birmingham Ladywood,
26462,Gordon,McKee,gordon.mckee.mp,Labour,Glasgow South,
11545,Ed,Miliband,ed_miliband_official,Labour,Doncaster North,
24872,Ian,Murray,ianmurraymp,Labour,Edinburgh South,
25794,Kate,Osborne,kate.osborne.mp,Labour,Jarrow and Gateshead East,
25377,Chris,Philp,chris.philp.official,Conservative,Croydon South,
24893,Alec,Shelbrooke,alecshelbrooke,Conservative,Wetherby and Easingwold,
26564,John,Slinger,johnslinger.mp,Labour,Rugby,
25353,Keir,Starmer,keirstarmer,Labour,Holborn and St Pancras,
24914,Mel,Stride,mel.stride.mp,Conservative,Central Devon,
25428,Rishi,Sunak,rishiisunak.official,Conservative,Richmond and Northallerton,
26443,Luke,Taylor,luke.taylor.mp,Liberal Democrat,Sutton and Cheam,
26561,Bradley,Thomas,bromsgrovebradley,Conservative,Bromsgrove,
11656,Emily,Thornberry,emilythornberrymp,Labour,Islington South and Finsbury,
26399,Richard,Tice,tice_richard,Reform UK,Boston and Skegness,
26387,Henry,Tufnell,henry.tufnell.mp,Labour,Mid and South Pembrokeshire,
25874,Christian,Wakeford,christian.wakeford.mp,Labour,Bury South,
26583,Steve,Witherden,stevewitherdenmp,Labour,Montgomeryshire and Glyndŵr,
25362,Mike,Wood,mike4kss,Conservative,Kingswinford and South Staffordshire,